Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation,is_last_day,day,month,year,date,year-month
09/24,1.2263190272,1.7589853005,1.0339536743,1.2725465026,0,24,9,2013,2013-09-24,2013-9
09/25,1.2263190272,1.7589853005,1.0339536743,1.2725465026,0,25,9,2013,2013-09-25,2013-9
09/26,1.2263190272,1.7589853005,1.0339536743,1.2725465026,0,26,9,2013,2013-09-26,2013-9
09/27,1.2263190272,1.7589853005,1.0207627106,1.2547213419,0,27,9,2013,2013-09-27,2013-9
09/30,1.2263190272,1.7589853005,1.0207627106,1.2547213419,1,30,9,2013,2013-09-30,2013-9
10/01,1.189831966,1.7305397449,0.9386852858,1.1748709585,0,1,10,2013,2013-10-01,2013-10
10/02,1.1469414695,1.7305397449,0.9141676958,1.1748709585,0,2,10,2013,2013-10-02,2013-10
10/03,1.1826219256,1.7305397449,0.9345637944,1.1748709585,0,3,10,2013,2013-10-03,2013-10
10/04,1.1926666827,1.7305397449,0.9403057013,1.1748709585,0,4,10,2013,2013-10-04,2013-10
10/07,1.2032352461,1.7305397449,0.9463470327,1.1748709585,0,7,10,2013,2013-10-07,2013-10
10/08,1.0261575848,1.7305397449,0.8451237344,1.1748709585,0,8,10,2013,2013-10-08,2013-10
10/09,1.0261575848,1.7305397449,0.8451237344,1.1748709585,0,9,10,2013,2013-10-09,2013-10
10/10,1.0261575848,1.7305397449,0.8451237344,1.1748709585,0,10,10,2013,2013-10-10,2013-10
10/11,1.0261575848,1.7305397449,0.8451237344,1.1748709585,0,11,10,2013,2013-10-11,2013-10
10/15,1.0261575848,1.7305397449,0.8451237344,1.1748709585,0,15,10,2013,2013-10-15,2013-10
10/16,1.0261575848,1.7305397449,0.8451237344,1.1748709585,0,16,10,2013,2013-10-16,2013-10
10/17,1.0261575848,1.7305397449,0.8451237344,1.1748709585,0,17,10,2013,2013-10-17,2013-10
10/18,1.0179122093,1.7305397449,0.8404104121,1.1748709585,0,18,10,2013,2013-10-18,2013-10
10/21,1.0179122093,1.7305397449,0.8404104121,1.1748709585,0,21,10,2013,2013-10-21,2013-10
10/22,1.0176623495,1.7305397449,0.8402675841,1.1748709585,0,22,10,2013,2013-10-22,2013-10
10/23,1.0176623495,1.7305397449,0.8402675841,1.1748709585,0,23,10,2013,2013-10-23,2013-10
10/24,1.0176623495,1.7305397449,0.8402675841,1.1748709585,0,24,10,2013,2013-10-24,2013-10
10/25,1.0176623495,1.7305397449,0.8402675841,1.1748709585,0,25,10,2013,2013-10-25,2013-10
10/28,1.0176623495,1.7305397449,0.8402675841,1.1748709585,0,28,10,2013,2013-10-28,2013-10
10/29,0.9939256626,1.7305397449,0.8266989289,1.1748709585,0,29,10,2013,2013-10-29,2013-10
10/30,0.9888962501,1.7036916664,0.825384311,1.1660976131,0,30,10,2013,2013-10-30,2013-10
10/31,0.9888962501,1.7036916664,0.825384311,1.1660976131,1,31,10,2013,2013-10-31,2013-10
11/01,1.4843024853,1.72685499,1.1017442229,1.1859316596,0,1,11,2013,2013-11-01,2013-11
11/04,1.3788558631,1.72685499,1.0413138425,1.1859316596,0,4,11,2013,2013-11-04,2013-11
11/05,1.3231547356,1.72685499,1.0093920963,1.1859316596,0,5,11,2013,2013-11-05,2013-11
11/06,1.3231547356,1.72685499,1.0093920963,1.1859316596,0,6,11,2013,2013-11-06,2013-11
11/07,1.3231547356,1.72685499,1.0093920963,1.1859316596,0,7,11,2013,2013-11-07,2013-11
11/08,1.3231547356,1.72685499,0.924443194,1.1222299252,0,8,11,2013,2013-11-08,2013-11
